City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Bengkulu,ID,-3.8004,102.2655,75.16,95,99,5.01,moderate rain
1,Nowy Sacz,PL,49.6218,20.6971,59.11,97,100,3.33,moderate rain
2,Portland,US,45.5234,-122.6762,74.79,70,0,7.0,clear sky
3,Tasiilaq,GL,65.6145,-37.6368,41.16,99,100,4.99,light rain
4,Butaritari,KI,3.0707,172.7902,81.52,76,100,15.46,light rain
5,Cherskiy,RU,68.75,161.3,29.61,98,100,2.57,light snow
6,Rikitea,PF,-23.1203,-134.9692,73.71,72,81,10.11,broken clouds
7,Busselton,AU,-33.65,115.3333,54.82,86,45,14.67,scattered clouds
8,Albany,US,42.6001,-73.9662,60.93,65,100,1.01,overcast clouds
9,Hobart,AU,-42.8794,147.3294,44.46,81,8,6.91,clear sky
10,Avarua,CK,-21.2078,-159.775,71.65,56,75,6.91,broken clouds
11,Chokurdakh,RU,70.6333,147.9167,22.62,91,100,4.54,overcast clouds
12,Yunhe,CN,34.0833,119.7167,73.63,95,93,12.03,overcast clouds
13,Goderich,CA,43.7501,-81.7165,65.91,63,100,10.36,overcast clouds
14,Constitucion,CL,-35.3333,-72.4167,63.88,63,92,5.21,overcast clouds
15,Verkhnevilyuysk,RU,63.4453,120.3167,24.17,87,97,3.51,overcast clouds
16,Boa Vista,BR,2.8197,-60.6733,93.18,40,75,8.05,broken clouds
17,Lakes Entrance,AU,-37.8811,147.981,40.15,92,8,4.52,clear sky
18,Baracoa,CU,20.3467,-74.4958,86.2,58,68,5.53,broken clouds
19,Cape Town,ZA,-33.9258,18.4232,63.27,70,0,17.27,clear sky
20,Novoomskiy,RU,54.8415,73.3017,37.42,52,0,4.47,clear sky
21,Lorengau,PG,-2.0226,147.2712,81.0,80,44,10.4,scattered clouds
22,Natal,BR,-5.795,-35.2094,84.85,58,40,16.11,scattered clouds
23,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,74,75,13.8,broken clouds
24,Yarim,YE,14.298,44.3779,61.54,52,8,2.08,light rain
25,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,93,100,8.05,overcast clouds
26,Punta Arenas,CL,-53.15,-70.9167,48.31,46,40,25.32,scattered clouds
27,Namibe,AO,-15.1961,12.1522,67.39,84,25,8.77,scattered clouds
28,Bukama,CD,-9.2,25.85,85.68,27,87,3.98,overcast clouds
29,Maarianhamina,AX,60.0973,19.9348,53.46,82,0,11.5,clear sky
30,Hermanus,ZA,-34.4187,19.2345,60.8,72,100,9.1,overcast clouds
31,Katsuura,JP,35.1333,140.3,70.21,84,26,11.3,scattered clouds
32,Torbay,CA,47.6666,-52.7314,65.57,52,20,20.71,few clouds
33,Olavarria,AR,-36.8927,-60.3225,76.91,25,78,7.18,broken clouds
34,Nikolskoye,RU,59.7035,30.7861,44.49,88,77,3.0,broken clouds
35,Bredasdorp,ZA,-34.5322,20.0403,56.64,71,100,5.59,overcast clouds
36,Antalaha,MG,-14.9003,50.2788,67.28,80,9,9.04,clear sky
37,Kruisfontein,ZA,-34.0033,24.7314,59.88,76,55,4.23,broken clouds
38,Mataura,NZ,-46.1927,168.8643,32.2,99,12,1.97,few clouds
39,Alice Springs,AU,-23.7,133.8833,65.75,31,100,6.91,overcast clouds
40,Lompoc,US,34.6391,-120.4579,66.78,93,51,3.24,broken clouds
41,Pevek,RU,69.7008,170.3133,33.4,81,100,5.57,overcast clouds
42,Saint-Philippe,RE,-21.3585,55.7679,69.39,77,41,11.07,scattered clouds
43,Chuy,UY,-33.6971,-53.4616,64.65,63,18,9.55,few clouds
44,Toora-Khem,RU,52.4675,96.11,17.53,74,44,3.91,scattered clouds
45,Ushuaia,AR,-54.8,-68.3,46.06,57,75,25.32,broken clouds
46,Taldan,RU,53.6667,124.8,37.72,97,100,6.04,light rain
47,Hilo,US,19.7297,-155.09,81.28,55,0,8.05,clear sky
48,Nouakchott,MR,18.0858,-15.9785,85.93,58,31,18.45,scattered clouds
49,Vaini,TO,-21.2,-175.2,73.56,78,75,8.05,broken clouds
50,New Norfolk,AU,-42.7826,147.0587,44.1,72,10,3.42,clear sky
51,Jamestown,US,42.097,-79.2353,60.94,63,0,11.5,clear sky
52,Bafra,TR,41.5678,35.9069,69.82,69,0,2.84,clear sky
53,Bluff,NZ,-46.6,168.3333,40.15,86,35,6.42,scattered clouds
54,Vila,PT,42.0304,-8.1588,62.71,66,25,3.04,scattered clouds
55,Yulara,AU,-25.2406,130.9889,55.8,73,89,14.27,moderate rain
56,Wuwei,CN,37.9281,102.6414,58.24,33,42,4.92,scattered clouds
57,Hithadhoo,MV,-0.6,73.0833,81.73,72,96,13.0,overcast clouds
58,Kavieng,PG,-2.5744,150.7967,80.83,80,25,12.24,light rain
59,Martapura,ID,-3.4167,114.85,77.09,94,92,1.14,overcast clouds
60,Mbanza-Ngungu,CD,-5.25,14.8667,76.12,70,96,5.48,overcast clouds
61,Georgetown,MY,5.4112,100.3354,78.73,88,40,8.05,scattered clouds
62,Namatanai,PG,-3.6667,152.4333,78.48,82,13,7.07,light rain
63,Nouadhibou,MR,20.931,-17.0347,75.18,69,0,18.41,clear sky
64,Guerrero Negro,MX,27.9769,-114.0611,72.57,67,4,13.89,clear sky
65,Talnakh,RU,69.4865,88.3972,29.21,97,100,6.04,light snow
66,Yelniki,RU,54.6207,43.876,60.53,92,100,13.38,overcast clouds
67,East London,ZA,-33.0153,27.9116,61.74,88,0,5.75,clear sky
68,Zhanaozen,KZ,43.3,52.8,68.07,19,30,10.29,scattered clouds
69,Hays,US,30.0502,-98.0336,82.63,43,0,1.01,clear sky
70,Kapaa,US,22.0752,-159.319,75.18,92,75,5.75,broken clouds
71,Ambilobe,MG,-13.2,49.05,71.02,72,3,2.77,clear sky
72,Brewster,US,41.3973,-73.6171,58.28,86,100,9.15,overcast clouds
73,Yerbogachen,RU,61.2767,108.0108,25.03,79,87,3.83,overcast clouds
74,Lagoa,PT,39.05,-27.9833,71.29,78,14,20.2,few clouds
75,Bagdarin,RU,54.4333,113.6,25.23,68,76,10.29,broken clouds
76,Pokaran,IN,26.9167,71.9167,88.25,27,1,10.09,clear sky
77,Abu Samrah,SY,35.3029,37.1841,84.79,19,0,9.6,clear sky
78,Hofn,IS,64.2539,-15.2082,46.71,90,100,4.21,overcast clouds
79,Hami,CN,42.8,93.45,47.19,19,100,14.85,overcast clouds
80,Qaanaaq,GL,77.484,-69.3632,9.45,75,0,5.84,clear sky
81,Chifeng,CN,42.2683,118.9636,58.6,90,100,5.44,overcast clouds
82,Xiaoweizhai,CN,26.1903,107.5125,69.94,95,87,5.73,overcast clouds
83,Tinqueux,FR,49.25,3.9833,64.42,68,100,5.75,overcast clouds
84,Muli,MV,2.9167,73.5667,81.99,77,100,17.96,overcast clouds
85,Kalanwali,IN,29.85,74.95,80.78,43,0,6.96,clear sky
86,Landeck,AT,47.1301,10.5636,54.34,98,100,3.27,light rain
87,Thayetmyo,MM,19.3167,95.1833,74.28,98,100,3.78,overcast clouds
88,Bandarbeyla,SO,9.4942,50.8122,78.44,77,48,21.85,scattered clouds
89,Kidal,ML,18.4411,1.4078,98.26,22,74,12.44,broken clouds
90,Khatanga,RU,71.9667,102.5,29.21,96,100,14.63,light snow
91,Beloha,MG,-25.1667,45.05,71.64,72,0,8.1,clear sky
92,Labuhan,ID,-6.8844,112.2051,79.68,81,87,7.34,overcast clouds
93,Te Anau,NZ,-45.4167,167.7167,32.05,98,66,2.19,broken clouds
94,Prince Rupert,CA,54.3161,-130.3201,57.29,86,100,24.16,light rain
95,Cidreira,BR,-30.1811,-50.2056,66.04,72,74,13.71,broken clouds
96,Middelkerke,BE,51.1558,2.8418,63.01,74,20,17.27,few clouds
97,Socorro,US,31.6546,-106.3033,82.02,40,75,4.61,broken clouds
98,Awjilah,LY,29.1081,21.2869,95.92,14,0,10.33,clear sky
99,Srednekolymsk,RU,67.45,153.6833,25.88,88,100,8.97,overcast clouds
100,Maniitsoq,GL,65.4167,-52.9,35.74,65,71,2.21,broken clouds
101,Yarada,IN,17.65,83.2667,77.32,94,75,5.75,mist
