City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2022-09-27 23:29:47,-54.8,-68.3,44.26,76,75,27.63
1,Jamestown,US,2022-09-27 23:29:47,42.097,-79.2353,54.99,77,100,8.05
2,San Cristobal,VE,2022-09-27 23:29:48,7.7669,-72.225,71.4,85,97,2.44
3,Rikitea,PF,2022-09-27 23:29:48,-23.1203,-134.9692,69.78,58,64,8.39
4,Vila Franca Do Campo,PT,2022-09-27 23:29:49,37.7167,-25.4333,68.2,80,22,9.44
5,Nikolskoye,RU,2022-09-27 23:29:49,59.7035,30.7861,42.69,97,10,4.41
6,Haines Junction,CA,2022-09-27 23:29:50,60.7522,-137.5108,53.55,37,77,10.36
7,Avera,US,2022-09-27 23:29:50,33.194,-82.5271,73.45,28,75,7.54
8,Chaska,US,2022-09-27 23:26:34,44.7894,-93.6022,58.8,40,0,10.36
9,Tuatapere,NZ,2022-09-27 23:29:51,-46.1333,167.6833,58.37,65,55,0.85
10,Ribeira Grande,PT,2022-09-27 23:29:51,38.5167,-28.7,70.54,65,74,11.23
11,Bluff,NZ,2022-09-27 23:29:52,-46.6,168.3333,55.33,80,62,0.96
12,Onega,RU,2022-09-27 23:29:53,63.9061,38.1404,42.71,87,100,7.05
13,Yar-Sale,RU,2022-09-27 23:29:53,66.8333,70.8333,28.36,87,97,10.58
14,Aksay,RU,2022-09-27 23:29:54,47.26,39.87,70.25,32,100,5.99
15,Kapaa,US,2022-09-27 23:28:06,22.0752,-159.319,85.98,64,0,11.5
16,Pisco,PE,2022-09-27 23:29:55,-13.7,-76.2167,62.65,72,0,16.11
17,Porto Walter,BR,2022-09-27 23:29:55,-8.2686,-72.7439,82.83,57,61,2.42
18,Punta Arenas,CL,2022-09-27 23:27:44,-53.15,-70.9167,48.31,61,40,23.02
19,Matara,LK,2022-09-27 23:29:56,5.9485,80.5353,77.38,88,89,11.07
20,Mokobeng,BW,2022-09-27 23:29:57,-22.9965,27.6678,74.82,39,1,14.74
21,Busselton,AU,2022-09-27 23:29:58,-33.65,115.3333,51.82,91,38,8.88
22,Qasigiannguit,GL,2022-09-27 23:29:58,68.8193,-51.1922,41.25,98,84,0.89
23,Albany,US,2022-09-27 23:29:59,42.6001,-73.9662,58.64,85,54,6.49
24,Robe,AU,2022-09-27 23:29:59,-37.1833,139.75,54.52,79,10,16.42
25,Rognan,NO,2022-09-27 23:29:59,67.0953,15.3878,50.88,85,42,8.01
26,Port Alfred,ZA,2022-09-27 23:30:00,-33.5906,26.891,65.17,99,100,5.99
27,Hermanus,ZA,2022-09-27 23:30:01,-34.4187,19.2345,47.8,83,3,6.89
28,Carnarvon,AU,2022-09-27 23:30:01,-24.8667,113.6333,69.87,31,1,11.21
29,Ibra,OM,2022-09-27 23:30:02,22.6906,58.5334,75.36,72,3,4.18
30,Castro,BR,2022-09-27 23:30:03,-24.7911,-50.0119,58.21,95,100,11.05
31,Vila Velha,BR,2022-09-27 23:30:03,-20.3297,-40.2925,76.95,94,100,8.01
32,Tyumentsevo,RU,2022-09-27 23:30:04,53.3224,81.498,45.23,84,100,15.28
33,Faya,SA,2022-09-27 23:30:04,18.3851,42.4509,64.51,29,0,3.29
34,Mataura,NZ,2022-09-27 23:30:05,-46.1927,168.8643,64.0,55,43,3.13
35,Mahebourg,MU,2022-09-27 23:30:06,-20.4081,57.7,71.26,64,40,11.5
36,Nantucket,US,2022-09-27 23:25:53,41.2835,-70.0995,66.25,65,0,9.22
37,Dunedin,NZ,2022-09-27 23:30:06,-45.8742,170.5036,59.81,70,57,3.0
38,Isangel,VU,2022-09-27 23:30:07,-19.55,169.2667,84.31,70,20,9.22
39,Atar,MR,2022-09-27 23:30:08,20.5169,-13.0499,94.26,35,67,4.85
40,Saint-Leu,RE,2022-09-27 23:30:09,-21.15,55.2833,67.06,69,24,2.77
41,Qaanaaq,GL,2022-09-27 23:30:09,77.484,-69.3632,30.13,97,99,4.74
42,Raudeberg,NO,2022-09-27 23:30:10,61.9875,5.1352,54.86,67,100,5.46
43,Maues,BR,2022-09-27 23:30:10,-3.3836,-57.7186,84.11,51,69,2.28
44,Mar Del Plata,AR,2022-09-27 23:30:11,-38.0023,-57.5575,51.1,64,0,8.05
45,Marsh Harbour,BS,2022-09-27 23:30:11,26.5412,-77.0636,81.03,81,100,10.76
46,Chuy,UY,2022-09-27 23:30:12,-33.6971,-53.4616,53.82,94,3,6.62
47,Vaini,TO,2022-09-27 23:31:12,-21.2,-175.2,78.96,83,20,3.44
48,Cayenne,GF,2022-09-27 23:31:13,4.9333,-52.3333,80.64,78,0,6.91
49,Mount Gambier,AU,2022-09-27 23:30:11,-37.8333,140.7667,55.87,68,72,9.13
50,Kyabe,TD,2022-09-27 23:31:14,9.4515,18.9449,70.61,96,100,3.91
51,Bredasdorp,ZA,2022-09-27 23:31:15,-34.5322,20.0403,51.46,91,21,2.71
52,Saint Anthony,US,2022-09-27 23:26:51,45.0205,-93.218,57.81,40,0,11.5
53,Sisimiut,GL,2022-09-27 23:31:16,66.9395,-53.6735,40.82,90,95,5.99
54,Dubbo,AU,2022-09-27 23:31:16,-32.25,148.6167,57.33,58,100,11.5
55,Kokopo,PG,2022-09-27 23:31:17,-4.352,152.2633,83.53,66,94,3.85
56,Kavaratti,IN,2022-09-27 23:31:17,10.5669,72.642,81.23,76,44,14.43
57,Bonwapitse,BW,2022-09-27 23:31:18,-23.0766,26.7037,72.77,39,0,14.94
58,Terrace,CA,2022-09-27 23:31:18,54.5163,-128.6035,67.91,77,75,2.3
59,Hobart,AU,2022-09-27 23:27:52,-42.8794,147.3294,56.26,84,75,5.75
60,Grand Island,US,2022-09-27 23:31:19,40.925,-98.342,78.75,30,0,14.97
61,Puerto Ayora,EC,2022-09-27 23:31:20,-0.7393,-90.3518,66.54,90,78,7.0
62,Basco,PH,2022-09-27 23:31:20,20.4487,121.9702,82.62,78,46,13.22
63,Atuona,PF,2022-09-27 23:31:21,-9.8,-139.0333,77.34,74,3,18.54
64,Lebu,CL,2022-09-27 23:31:21,-37.6167,-73.65,50.94,86,0,15.79
65,Srednekolymsk,RU,2022-09-27 23:31:22,67.45,153.6833,33.6,59,61,12.84
66,Kodiak,US,2022-09-27 23:31:22,57.79,-152.4072,47.71,87,100,6.91
67,East London,ZA,2022-09-27 23:31:23,-33.0153,27.9116,68.56,93,100,23.42
